_id,INTERVENTION_TYPE,LICENCE_NUMBER,OPERATOR_NAME,BUSINESS_ADDRESS,PROPOSED_STREET_LOCATION,WARD_NAME,BIA_NAME,STREET_NAME_SHORTENED,MUNICIPAL_ADDRESS,CATEGORY,CONDITIONS,geometry
11,Sidewalk Caf̩,R57-2243536,DONATELLO RESTAURANT,37 ELM ST,None,UNIVERSITY-ROSEDALE,None,ELM ST,37 ELM ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.38347591, 43.65730804]], ""type"": ""MultiPoint""}"
12,Sidewalk Caf̩,R57-2244288,THE CHURCHMOUSE & FIRKIN,475 CHURCH ST,None,TORONTO CENTRE,None,CHURCH ST,475 CHURCH ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.38014867, 43.6645994776208]], ""type"": ""MultiPoint""}"
13,Sidewalk Caf̩,R57-2249163,THE EMBASSY BAR,223 AUGUSTA AVE,None,UNIVERSITY-ROSEDALE,None,AUGUSTA AVE,223 AUGUSTA AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.4016569, 43.6543336800387]], ""type"": ""MultiPoint""}"
14,Sidewalk Caf̩,R57-2249710,7NUMBERS,307 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,307 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.35384311, 43.6769501250582]], ""type"": ""MultiPoint""}"
15,Sidewalk Caf̩,R57-2256178,FRAN'S RESTAURANT,200 VICTORIA ST,None,TORONTO CENTRE,None,VICTORIA ST,200 VICTORIA ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.37912439, 43.6545145334455]], ""type"": ""MultiPoint""}"
16,Sidewalk Caf̩,R57-2256208,SUPERMARKET RESTAURANT & BAR,268 AUGUSTA AVE,None,UNIVERSITY-ROSEDALE,None,AUGUSTA AVE,268 AUGUSTA AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40322346, 43.6565729782936]], ""type"": ""MultiPoint""}"
17,Sidewalk Caf̩,R57-2265653,CAPOCACCIA,"1366 YONGE ST, #103",None,TORONTO-ST. PAUL'S,None,YONGE ST,1366 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.3935892, 43.6860300546461]], ""type"": ""MultiPoint""}"
18,Sidewalk Caf̩,R57-2271818,MYTH,"522 KING ST W, MNFL(REAR)",None,SPADINA-FORT YORK,None,KING ST W,522 KING ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.3974075, 43.6452074794683]], ""type"": ""MultiPoint""}"
19,Sidewalk Caf̩,R57-2273129,MCMURPHY'S PUB,381 EGLINTON AVE E,None,DON VALLEY WEST,None,EGLINTON AVE E,381 EGLINTON AVE E,SIDEWALK CAFE,None,"{""coordinates"": [[-79.38504349, 43.7092214148901]], ""type"": ""MultiPoint""}"
20,Sidewalk Caf̩,R57-2273480,HOTHOUSE CAFE,35 CHURCH ST,None,TORONTO CENTRE,None,CHURCH ST,35 CHURCH ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.37381947, 43.6492767707018]], ""type"": ""MultiPoint""}"
21,Sidewalk Caf̩,R57-2275248,MCVEIGH'S NEW WINDSOR TAVERN,124 CHURCH ST,None,TORONTO CENTRE,None,CHURCH ST,124 CHURCH ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.37560265, 43.6522525942612]], ""type"": ""MultiPoint""}"
22,Sidewalk Caf̩,R57-2275820,STARBUCKS COFFEE # 4495,"130 SPADINA AVE, #4",None,SPADINA-FORT YORK,None,SPADINA AVE,130 SPADINA AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39621733, 43.6476728426791]], ""type"": ""MultiPoint""}"
23,Sidewalk Caf̩,R57-2310497,RONNIE'S LOCAL 069,69 NASSAU ST,None,UNIVERSITY-ROSEDALE,None,NASSAU ST,69 NASSAU ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40263866, 43.65500013]], ""type"": ""MultiPoint""}"
24,Sidewalk Caf̩,R57-2313321,RIO 40 DEGREES RESTAURANT & BAR,1256 ST CLAIR AVE W,None,DAVENPORT,None,ST CLAIR AVE W,1256 ST CLAIR AVE W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.44646484, 43.6774697688371]], ""type"": ""MultiPoint""}"
25,Sidewalk Caf̩,R57-2317514,THE BISHOP AND THE BELCHER,"175 BLOOR ST E, R4 & R6",None,UNIVERSITY-ROSEDALE,None,BLOOR ST E,175 BLOOR ST E,SIDEWALK CAFE,None,"{""coordinates"": [[-79.38252433, 43.6706559973227]], ""type"": ""MultiPoint""}"
26,Sidewalk Caf̩,R57-2321589,THE FISH AND SANDWICH,657 COLLEGE ST,None,UNIVERSITY-ROSEDALE,None,COLLEGE ST,657 COLLEGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41631067, 43.6549122885129]], ""type"": ""MultiPoint""}"
27,Sidewalk Caf̩,R57-2321855,MILAGRO RESTAURANTE MEXICANO Y CANTINA,50 JOHN ST,None,SPADINA-FORT YORK,None,JOHN ST,50 JOHN ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.38961183, 43.6455931362098]], ""type"": ""MultiPoint""}"
28,Sidewalk Caf̩,R57-2336023,PIZZA NOVA,240 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,240 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.35534655, 43.6771512636205]], ""type"": ""MultiPoint""}"
29,Sidewalk Caf̩,R57-2355689,BOOM BREAKFAST CO,1036 ST CLAIR AVE W,None,DAVENPORT,None,ST CLAIR AVE W,1036 ST CLAIR AVE W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.43852084, 43.6792093454712]], ""type"": ""MultiPoint""}"
30,Sidewalk Caf̩,R57-2363988,THE FRIENDLY BUTCHER,3269 YONGE ST,None,DON VALLEY WEST,None,YONGE ST,3269 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40303487, 43.7293733349535]], ""type"": ""MultiPoint""}"
31,Sidewalk Caf̩,R57-2364882,GELATO ON THE DANNY,1772 DANFORTH AVE,None,BEACHES-EAST YORK,None,DANFORTH AVE,1772 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.31924421, 43.6845407389051]], ""type"": ""MultiPoint""}"
32,Sidewalk Caf̩,R57-2369247,RISTORANTE LA FENICE,319 KING ST W,None,SPADINA-FORT YORK,None,KING ST W,319 KING ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39075715, 43.64621831]], ""type"": ""MultiPoint""}"
33,Sidewalk Caf̩,R57-2373297,STARBUCKS COFFEE #4742,2451 YONGE ST,None,DON VALLEY WEST,None,YONGE ST,2451 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39907073, 43.7110229969235]], ""type"": ""MultiPoint""}"
34,Sidewalk Caf̩,R57-2381638,TERRONI,"57 ADELAIDE ST E, MAIN/LWR L",None,TORONTO CENTRE,None,ADELAIDE ST E,57 ADELAIDE ST E,SIDEWALK CAFE,None,"{""coordinates"": [[-79.37564124, 43.6508003840755]], ""type"": ""MultiPoint""}"
35,Sidewalk Caf̩,R57-2384243,MARIA'S SPORTS BAR,1135 COLLEGE ST,None,DAVENPORT,None,COLLEGE ST,1135 COLLEGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.43373825, 43.6520527092069]], ""type"": ""MultiPoint""}"
36,Sidewalk Caf̩,R57-2394677,DUFF'S FAMOUS WINGS,558 COLLEGE ST,None,UNIVERSITY-ROSEDALE,None,COLLEGE ST,558 COLLEGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41224246, 43.6557655095032]], ""type"": ""MultiPoint""}"
37,Sidewalk Caf̩,R57-2403701,MARIACHI'S RESTAURANT,2084 YONGE ST,None,TORONTO-ST. PAUL'S,None,YONGE ST,2084 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39763628, 43.7021380961563]], ""type"": ""MultiPoint""}"
38,Sidewalk Caf̩,R57-2403793,GABBY'S RESTAURANT,3263 YONGE ST,None,DON VALLEY WEST,None,YONGE ST,3263 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40289811, 43.7292770136472]], ""type"": ""MultiPoint""}"
39,Sidewalk Caf̩,R57-2404072,FREE TIMES CAFE,318-320 COLLEGE ST,None,UNIVERSITY-ROSEDALE,None,COLLEGE ST,318-320 COLLEGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40251126, 43.6577169488005]], ""type"": ""MultiPoint""}"
40,Sidewalk Caf̩,R57-2404674,NOCE,875 QUEEN ST W,None,SPADINA-FORT YORK,None,QUEEN ST W,875 QUEEN ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41135572, 43.6455253458394]], ""type"": ""MultiPoint""}"
41,Sidewalk Caf̩,R57-2406135,STARBUCKS COFFEE 4241,2630 YONGE ST,None,EGLINTON-LAWRENCE,None,YONGE ST,2630 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40058675, 43.71555534]], ""type"": ""MultiPoint""}"
42,Sidewalk Caf̩,R57-2453389,BANGKOK GARDEN,18 ELM ST,None,UNIVERSITY-ROSEDALE,None,ELM ST,18 ELM ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.38274323, 43.6578866443217]], ""type"": ""MultiPoint""}"
43,Sidewalk Caf̩,R57-2461016,FUSARO'S KITCHEN,"147 SPADINA AVE, #108",None,SPADINA-FORT YORK,None,SPADINA AVE,147 SPADINA AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39559647, 43.6480765286229]], ""type"": ""MultiPoint""}"
44,Sidewalk Caf̩,R57-2461415,BASKIN-ROBBINS,552 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,552 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.34762499, 43.678560748241]], ""type"": ""MultiPoint""}"
45,Sidewalk Caf̩,R57-2462315,521 CAFE & BAR,521 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,521 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.34820671, 43.6780272130839]], ""type"": ""MultiPoint""}"
46,Sidewalk Caf̩,R57-2466386,BRASS TAPS PIZZA PUB,934 COLLEGE ST,None,DAVENPORT,None,COLLEGE ST,934 COLLEGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.42616968, 43.6539023511115]], ""type"": ""MultiPoint""}"
47,Sidewalk Caf̩,R57-2483815,BY THE WAY,400 BLOOR ST W,None,UNIVERSITY-ROSEDALE,None,BLOOR ST W,400 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40767837, 43.6660072805077]], ""type"": ""MultiPoint""}"
48,Sidewalk Caf̩,R57-2483824,PAUPERS,539 BLOOR ST W,None,UNIVERSITY-ROSEDALE,None,BLOOR ST W,539 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41008105, 43.6651529075618]], ""type"": ""MultiPoint""}"
49,Sidewalk Caf̩,R57-2483851,STARBUCKS COFFEE 4233,2210 BLOOR ST W,None,PARKDALE-HIGH PARK,None,BLOOR ST W,2210 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.47592048, 43.6514719299369]], ""type"": ""MultiPoint""}"
50,Sidewalk Caf̩,R57-2483968,CAFE DIPLOMATICO AND RESTAURANT,594 COLLEGE ST,None,UNIVERSITY-ROSEDALE,None,COLLEGE ST,594 COLLEGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41376867, 43.6553800088595]], ""type"": ""MultiPoint""}"
51,Sidewalk Caf̩,R57-2483988,SASSAFRAZ,100 CUMBERLAND ST,None,UNIVERSITY-ROSEDALE,None,CUMBERLAND ST,100 CUMBERLAND ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39123513, 43.6704081874742]], ""type"": ""MultiPoint""}"
52,Sidewalk Caf̩,R57-2483990,HEMINGWAY'S,142 CUMBERLAND ST,None,UNIVERSITY-ROSEDALE,None,CUMBERLAND ST,142 CUMBERLAND ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39282899, 43.6701486453361]], ""type"": ""MultiPoint""}"
53,Sidewalk Caf̩,R57-2483997,ASTORIA SHISH KEBOB HOUSE INC,390 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,390 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.35182492, 43.6778298719152]], ""type"": ""MultiPoint""}"
54,Sidewalk Caf̩,R57-2484002,PIATO OF KALYVIA,420 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,420 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.35120443, 43.6779641396719]], ""type"": ""MultiPoint""}"
55,Sidewalk Caf̩,R57-2484006,MEZES,456 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,456 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.35029844, 43.6781261596374]], ""type"": ""MultiPoint""}"
56,Sidewalk Caf̩,R57-2484011,ATHENS PASTRIES & PIES,509 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,509 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.34882478, 43.6779458951422]], ""type"": ""MultiPoint""}"
57,Sidewalk Caf̩,R57-2484022,IL FORNELLO-DANFORTH,576 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,576 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.3469818, 43.6787348566202]], ""type"": ""MultiPoint""}"
58,Sidewalk Caf̩,R57-2484024,STARBUCKS COFFEE 4205,604 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,604 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.34635345, 43.6788540193023]], ""type"": ""MultiPoint""}"
59,Sidewalk Caf̩,R57-2484177,THE CHURCHILL,1212 DUNDAS ST W,None,DAVENPORT,None,DUNDAS ST W,1212 DUNDAS ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.4230832, 43.6495616971129]], ""type"": ""MultiPoint""}"
60,Sidewalk Caf̩,R57-2484192,SHOXS BILLIARD LOUNGE,2827 DUNDAS ST W,None,PARKDALE-HIGH PARK,None,DUNDAS ST W,2827 DUNDAS ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.46352124, 43.6651546292938]], ""type"": ""MultiPoint""}"
61,Sidewalk Caf̩,R57-2484225,FERRARO,502 EGLINTON AVE W,None,EGLINTON-LAWRENCE,None,EGLINTON AVE W,502 EGLINTON AVE W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41328736, 43.7037840433153]], ""type"": ""MultiPoint""}"
62,Sidewalk Caf̩,R57-2484235,None,54 THE ESPLANADE,None,TORONTO CENTRE,None,THE ESPLANADE,54 THE ESPLANADE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.37436116, 43.6469715689737]], ""type"": ""MultiPoint""}"
63,Sidewalk Caf̩,R57-2484238,SCOTLAND YARD,56 THE ESPLANADE,None,TORONTO CENTRE,None,THE ESPLANADE,56 THE ESPLANADE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.37410183, 43.6472057962406]], ""type"": ""MultiPoint""}"
64,Sidewalk Caf̩,R57-2484268,THE ARTFUL DODGER,10-12 ISABELLA ST,None,TORONTO CENTRE,None,ISABELLA ST,10-12 ISABELLA ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.38514931, 43.6678488634631]], ""type"": ""MultiPoint""}"
65,Sidewalk Caf̩,R57-2484292,FRIAR & FIRKIN,160 JOHN ST,None,SPADINA-FORT YORK,None,JOHN ST,160 JOHN ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39120369, 43.6495227949569]], ""type"": ""MultiPoint""}"
66,Sidewalk Caf̩,R57-2484761,REX HOTEL,194 QUEEN ST W,None,SPADINA-FORT YORK,None,QUEEN ST W,194 QUEEN ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.38851559, 43.6506202343534]], ""type"": ""MultiPoint""}"
67,Sidewalk Caf̩,R57-2484794,MARCELLO'S PIZZERIA ST CLAIR,1163 ST CLAIR AVE W,None,DAVENPORT,None,ST CLAIR AVE W,1163 ST CLAIR AVE W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.44257379, 43.6778275999887]], ""type"": ""MultiPoint""}"
68,Sidewalk Caf̩,R57-2484795,None,1220 ST CLAIR AVE W,None,DAVENPORT,None,ST CLAIR AVE W,1220 ST CLAIR AVE W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.44477335, 43.677842581856]], ""type"": ""MultiPoint""}"
69,Sidewalk Caf̩,R57-2484804,GROSSMAN'S TAVERN,377-379 SPADINA AVE,None,UNIVERSITY-ROSEDALE,None,SPADINA AVE,377-379 SPADINA AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39900305, 43.6560505975885]], ""type"": ""MultiPoint""}"
70,Sidewalk Caf̩,R57-2484814,THE SENATOR RESTAURANT,249 VICTORIA ST,None,TORONTO CENTRE,None,VICTORIA ST,249 VICTORIA ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.37900385, 43.6557393460177]], ""type"": ""MultiPoint""}"
71,Sidewalk Caf̩,R57-2484843,DUKE OF KENT,2315 YONGE ST,None,TORONTO-ST. PAUL'S,None,YONGE ST,2315 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39832578, 43.7079266658967]], ""type"": ""MultiPoint""}"
72,Sidewalk Caf̩,R57-2485670,LA VECCHIA,2405A YONGE ST,None,DON VALLEY WEST,None,YONGE ST,2405A YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39886022, 43.7102000321809]], ""type"": ""MultiPoint""}"
73,Sidewalk Caf̩,R57-2486946,WHAT A BAGEL,421 SPADINA RD,None,TORONTO-ST. PAUL'S,None,SPADINA RD,421 SPADINA RD,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41253561, 43.6889214167097]], ""type"": ""MultiPoint""}"
74,Sidewalk Caf̩,R57-2487698,HAIR OF THE DOG,425 CHURCH ST,None,TORONTO CENTRE,None,CHURCH ST,425 CHURCH ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.37960152, 43.6629669418588]], ""type"": ""MultiPoint""}"
75,Sidewalk Caf̩,R57-3835407,ONE,116 YORKVILLE AVE,None,UNIVERSITY-ROSEDALE,None,YORKVILLE AVE,116 YORKVILLE AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39326643, 43.6708527154822]], ""type"": ""MultiPoint""}"
76,Sidewalk Caf̩,R57-3835491,BAR WELLINGTON,520 WELLINGTON ST W,None,SPADINA-FORT YORK,None,WELLINGTON ST W,520 WELLINGTON ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39942774, 43.6433105616272]], ""type"": ""MultiPoint""}"
77,Sidewalk Caf̩,R57-3835696,MOONBEAN COFFEE COMPANY,30 ST ANDREW ST,None,UNIVERSITY-ROSEDALE,None,ST ANDREW ST,30 ST ANDREW ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40023204, 43.6542773840896]], ""type"": ""MultiPoint""}"
78,Sidewalk Caf̩,R57-3837087,BLACK SWAN TAVERN,152-154 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,152-154 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.35757363, 43.6766739118694]], ""type"": ""MultiPoint""}"
79,Sidewalk Caf̩,R57-3837305,SHAKEY'S ORIGINAL BAR AND GRILL,2255 BLOOR ST W,None,PARKDALE-HIGH PARK,None,BLOOR ST W,2255 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.47763001, 43.6506539906008]], ""type"": ""MultiPoint""}"
80,Sidewalk Caf̩,R57-3837716,RIVERDALE PERK,633 LOGAN AVE,None,TORONTO-DANFORTH,None,LOGAN AVE,633 LOGAN AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.34667615, 43.6712988069875]], ""type"": ""MultiPoint""}"
81,Sidewalk Caf̩,R57-3837950,SOTTO VOCE WINE & PASTA BAR,595 COLLEGE ST,None,UNIVERSITY-ROSEDALE,None,COLLEGE ST,595 COLLEGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41366242, 43.6551129215253]], ""type"": ""MultiPoint""}"
82,Sidewalk Caf̩,R57-3840108,TABULE,2007-2009 YONGE ST,None,TORONTO-ST. PAUL'S,None,YONGE ST,2007-2009 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39679924, 43.7009945320344]], ""type"": ""MultiPoint""}"
83,Sidewalk Caf̩,R57-3841720,QUEEN'S PASTA CAFE,2263 BLOOR ST W,None,PARKDALE-HIGH PARK,None,BLOOR ST W,2263 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.47791101, 43.6505794509648]], ""type"": ""MultiPoint""}"
84,Sidewalk Caf̩,R57-3842028,TERRAZZA,372 HARBORD ST,None,UNIVERSITY-ROSEDALE,None,HARBORD ST,372 HARBORD ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.42206705, 43.6591008965883]], ""type"": ""MultiPoint""}"
85,Sidewalk Caf̩,R57-3844268,SEVEN NUMBERS EGLINTON,516 EGLINTON AVE W,None,EGLINTON-LAWRENCE,None,EGLINTON AVE W,516 EGLINTON AVE W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41369791, 43.703712982895]], ""type"": ""MultiPoint""}"
86,Sidewalk Caf̩,R57-3947413,ETHIOPIAN HOUSE,4 IRWIN AVE,None,TORONTO CENTRE,None,IRWIN AVE,4 IRWIN AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.38563841, 43.66673001]], ""type"": ""MultiPoint""}"
87,Sidewalk Caf̩,R57-3947923,PIZZA NOVA,1928 QUEEN ST E,None,BEACHES-EAST YORK,None,QUEEN ST E,1928 QUEEN ST E,SIDEWALK CAFE,None,"{""coordinates"": [[-79.30376496, 43.6694006526311]], ""type"": ""MultiPoint""}"
88,Sidewalk Caf̩,R57-3949336,WHEAT SHEAF,667 KING ST W,None,SPADINA-FORT YORK,None,KING ST W,667 KING ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40284718, 43.6436616108445]], ""type"": ""MultiPoint""}"
89,Sidewalk Caf̩,R57-3950711,AMADEUS RESTAURANT,182 AUGUSTA AVE,None,UNIVERSITY-ROSEDALE,None,AUGUSTA AVE,182 AUGUSTA AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40201218, 43.6539933828674]], ""type"": ""MultiPoint""}"
90,Sidewalk Caf̩,R57-3950796,FUTURE BISTRO,483 BLOOR ST W,None,UNIVERSITY-ROSEDALE,None,BLOOR ST W,483 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40759428, 43.6657508815144]], ""type"": ""MultiPoint""}"
91,Sidewalk Caf̩,R57-3950859,THE CORNER PLACE,11 JARVIS ST,None,TORONTO CENTRE,None,JARVIS ST,11 JARVIS ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.37133911, 43.6497672806037]], ""type"": ""MultiPoint""}"
92,Sidewalk Caf̩,R57-3951319,HEY LUCY,295 KING ST W,None,SPADINA-FORT YORK,None,KING ST W,295 KING ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39006188, 43.6462847129097]], ""type"": ""MultiPoint""}"
93,Sidewalk Caf̩,R57-3952368,PRIMETIME SPORTS CAFE,1531 DUPONT ST,None,DAVENPORT,None,DUPONT ST,1531 DUPONT ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.45218161, 43.6653768498779]], ""type"": ""MultiPoint""}"
94,Sidewalk Caf̩,R57-3953212,STARBUCKS COFFEE #4720,2201 DUNDAS ST W,None,PARKDALE-HIGH PARK,None,DUNDAS ST W,2201 DUNDAS ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.45145057, 43.6534810188342]], ""type"": ""MultiPoint""}"
95,Sidewalk Caf̩,R57-3956788,STARBUCKS COFFEE #4719,1020 KINGSTON RD,None,BEACHES-EAST YORK,None,KINGSTON RD,1020 KINGSTON RD,SIDEWALK CAFE,None,"{""coordinates"": [[-79.28499392, 43.6808812312689]], ""type"": ""MultiPoint""}"
